1;oi maria tudo bem?;joao;maria;2023-07-03T12:43:32.078849200
2;tudo bem joao!;maria;joao;2023-07-03T12:43:32.099019400
3;vamos fazer juntos?;joao;maria;2023-07-03T12:43:32.113752600
4;vou criar um grupo e chamar jose tb;maria;joao;2023-07-03T12:43:32.127580600
5;teste;joao;joao;2023-07-03T12:43:32.144391400
6;maria/oi pessoal criei o grupo do projeto;grupo1;joao;2023-07-03T12:43:32.230096700
6;maria/oi pessoal criei o grupo do projeto;grupo1;jose;2023-07-03T12:43:32.230096700
6;oi pessoal criei o grupo do projeto;maria;grupo1;2023-07-03T12:43:32.229074200
7;joao/obrigado maria;grupo1;maria;2023-07-03T12:43:32.240907400
7;joao/obrigado maria;grupo1;jose;2023-07-03T12:43:32.240907400
7;obrigado maria;joao;grupo1;2023-07-03T12:43:32.240907400
8;jose/valeu maria;grupo1;joao;2023-07-03T12:43:32.260708500
8;jose/valeu maria;grupo1;maria;2023-07-03T12:43:32.260708500
8;valeu maria;jose;grupo1;2023-07-03T12:43:32.260708500
9;maria/vamos conversar sobre o projeto hoje;grupo1;joao;2023-07-03T12:43:32.279309600
9;maria/vamos conversar sobre o projeto hoje;grupo1;jose;2023-07-03T12:43:32.279309600
9;vamos conversar sobre o projeto hoje;maria;grupo1;2023-07-03T12:43:32.279309600
